ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Pinnacles NP,pinn,National Park,Pacific West ,CA,2022,4,23642,0,169926,0,0,3820,0,0,0,0,0,,,,,,2022,275023,0,1686973,0,0,31930,0,0,0,0,0
Pinnacles NP,pinn,National Park,Pacific West ,CA,2022,5,27948,0,177817,0,0,3546,0,0,0,0,0,,,,,,2022,275023,0,1686973,0,0,31930,0,0,0,0,0
Pinnacles NP,pinn,National Park,Pacific West ,CA,2022,6,22256,0,142365,0,0,2853,0,0,0,0,0,,,,,,2022,275023,0,1686973,0,0,31930,0,0,0,0,0
Pinnacles NP,pinn,National Park,Pacific West ,CA,2022,7,19551,0,129912,0,0,2748,0,0,0,0,0,,,,,,2022,275023,0,1686973,0,0,31930,0,0,0,0,0
Pinnacles NP,pinn,National Park,Pacific West ,CA,2022,8,19330,0,111369,0,0,1928,0,0,0,0,0,,,,,,2022,275023,0,1686973,0,0,31930,0,0,0,0,0
Pinnacles NP,pinn,National Park,Pacific West ,CA,2022,9,13898,0,96296,0,0,2135,0,0,0,0,0,,,,,,2022,275023,0,1686973,0,0,31930,0,0,0,0,0
Pinnacles NP,pinn,National Park,Pacific West ,CA,2022,10,17184,0,119270,0,0,2640,0,0,0,0,0,,,,,,2022,275023,0,1686973,0,0,31930,0,0,0,0,0
Pinnacles NP,pinn,National Park,Pacific West ,CA,2022,11,21697,0,133024,0,0,2522,0,0,0,0,0,,,,,,2022,275023,0,1686973,0,0,31930,0,0,0,0,0
Pinnacles NP,pinn,National Park,Pacific West ,CA,2022,12,16408,0,84976,0,0,1180,0,0,0,0,0,,,,,,2022,275023,0,1686973,0,0,31930,0,0,0,0,0
Redwood NP,redw,National Park,Pacific West ,CA,2022,1,20630,902,78590,902,0,0,68,0,297,0,0,,,,,,2022,458400,10824,1982388,2724,0,0,4747,0,12582,0,4999
Redwood NP,redw,National Park,Pacific West ,CA,2022,2,20202,902,78363,902,0,0,252,0,356,0,0,,,,,,2022,458400,10824,1982388,2724,0,0,4747,0,12582,0,4999
Redwood NP,redw,National Park,Pacific West ,CA,2022,3,27390,902,115645,902,0,0,321,0,650,0,270,,,,,,2022,458400,10824,1982388,2724,0,0,4747,0,12582,0,4999
Redwood NP,redw,National Park,Pacific West ,CA,2022,4,34053,902,133976,902,0,0,303,0,688,0,0,,,,,,2022,458400,10824,1982388,2724,0,0,4747,0,12582,0,4999
Redwood NP,redw,National Park,Pacific West ,CA,2022,5,44887,902,189181,902,0,0,680,0,1492,0,0,,,,,,2022,458400,10824,1982388,2724,0,0,4747,0,12582,0,4999
Redwood NP,redw,National Park,Pacific West ,CA,2022,6,59736,902,265212,902,0,0,695,0,2209,0,402,,,,,,2022,458400,10824,1982388,2724,0,0,4747,0,12582,0,4999
Redwood NP,redw,National Park,Pacific West ,CA,2022,7,68544,902,332398,902,0,0,887,0,2578,0,1724,,,,,,2022,458400,10824,1982388,2724,0,0,4747,0,12582,0,4999
Redwood NP,redw,National Park,Pacific West ,CA,2022,8,60003,902,276315,902,0,0,587,0,1875,0,1209,,,,,,2022,458400,10824,1982388,2724,0,0,4747,0,12582,0,4999
Redwood NP,redw,National Park,Pacific West ,CA,2022,9,49954,902,209927,902,0,0,443,0,1320,0,312,,,,,,2022,458400,10824,1982388,2724,0,0,4747,0,12582,0,4999
Redwood NP,redw,National Park,Pacific West ,CA,2022,10,38004,902,167995,902,0,0,270,0,661,0,966,,,,,,2022,458400,10824,1982388,2724,0,0,4747,0,12582,0,4999
Redwood NP,redw,National Park,Pacific West ,CA,2022,11,19904,902,79898,902,0,0,205,0,371,0,105,,,,,,2022,458400,10824,1982388,2724,0,0,4747,0,12582,0,4999
Redwood NP,redw,National Park,Pacific West ,CA,2022,12,15093,902,54888,902,0,0,36,0,85,0,11,,,,,,2022,458400,10824,1982388,2724,0,0,4747,0,12582,0,4999
Rocky Mountain NP,romo,National Park,Intermountain ,CO,2022,1,130331,90,787842,90,0,0,210,105,51,0,0,,,,,,2022,4300424,8750,29020215,26250,0,0,110586,55326,34645,0,548
Rocky Mountain NP,romo,National Park,Intermountain ,CO,2022,2,101109,50,612749,50,0,0,210,105,66,0,0,,,,,,2022,4300424,8750,29020215,26250,0,0,110586,55326,34645,0,548
Rocky Mountain NP,romo,National Park,Intermountain ,CO,2022,3,145752,80,887054,80,0,0,447,213,124,0,0,,,,,,2022,4300424,8750,29020215,26250,0,0,110586,55326,34645,0,548
Rocky Mountain NP,romo,National Park,Intermountain ,CO,2022,4,153666,70,953836,70,0,0,933,936,121,0,0,,,,,,2022,4300424,8750,29020215,26250,0,0,110586,55326,34645,0,548
Rocky Mountain NP,romo,National Park,Intermountain ,CO,2022,5,286464,490,1864207,490,0,0,4638,3552,899,0,0,,,,,,2022,4300424,8750,29020215,26250,0,0,110586,55326,34645,0,548
Rocky Mountain NP,romo,National Park,Intermountain ,CO,2022,6,627860,1400,4501686,1400,0,0,26562,13023,6126,0,197,,,,,,2022,4300424,8750,29020215,26250,0,0,110586,55326,34645,0,548
Rocky Mountain NP,romo,National Park,Intermountain ,CO,2022,7,811861,2050,5742625,2050,0,0,29517,13206,11564,0,179,,,,,,2022,4300424,8750,29020215,26250,0,0,110586,55326,34645,0,548
Rocky Mountain NP,romo,National Park,Intermountain ,CO,2022,8,665531,2300,4787585,2300,0,0,27852,12585,9082,0,131,,,,,,2022,4300424,8750,29020215,26250,0,0,110586,55326,34645,0,548
Rocky Mountain NP,romo,National Park,Intermountain ,CO,2022,9,650863,1500,4468632,1500,0,0,19359,10383,5433,0,41,,,,,,2022,4300424,8750,29020215,26250,0,0,110586,55326,34645,0,548
Rocky Mountain NP,romo,National Park,Intermountain ,CO,2022,10,474957,560,2888364,560,0,0,579,759,1076,0,0,,,,,,2022,4300424,8750,29020215,26250,0,0,110586,55326,34645,0,548
Rocky Mountain NP,romo,National Park,Intermountain ,CO,2022,11,131655,100,798841,100,0,0,192,327,38,0,0,,,,,,2022,4300424,8750,29020215,26250,0,0,110586,55326,34645,0,548
Rocky Mountain NP,romo,National Park,Intermountain ,CO,2022,12,120375,60,726794,60,0,0,87,132,65,0,0,,,,,,2022,4300424,8750,29020215,26250,0,0,110586,55326,34645,0,548
Saguaro NP,sagu,National Park,Intermountain ,AZ,2022,1,100022,359225,181094,359225,0,0,0,0,264,0,0,,,,,,2022,908194,4344960,1650326,1086239,0,0,0,0,3706,0,0
Saguaro NP,sagu,National Park,Intermountain ,AZ,2022,2,114193,323405,200187,323405,0,0,0,0,389,0,0,,,,,,2022,908194,4344960,1650326,1086239,0,0,0,0,3706,0,0
Saguaro NP,sagu,National Park,Intermountain ,AZ,2022,3,132467,336073,247134,336073,0,0,0,0,1064,0,0,,,,,,2022,908194,4344960,1650326,1086239,0,0,0,0,3706,0,0
Saguaro NP,sagu,National Park,Intermountain ,AZ,2022,4,109500,361537,210426,361537,0,0,0,0,624,0,0,,,,,,2022,908194,4344960,1650326,1086239,0,0,0,0,3706,0,0
Saguaro NP,sagu,National Park,Intermountain ,AZ,2022,5,65538,350826,118902,350826,0,0,0,0,150,0,0,,,,,,2022,908194,4344960,1650326,1086239,0,0,0,0,3706,0,0
Saguaro NP,sagu,National Park,Intermountain ,AZ,2022,6,37836,393947,67058,393947,0,0,0,0,83,0,0,,,,,,2022,908194,4344960,1650326,1086239,0,0,0,0,3706,0,0
Saguaro NP,sagu,National Park,Intermountain ,AZ,2022,7,37458,424491,62553,424491,0,0,0,0,45,0,0,,,,,,2022,908194,4344960,1650326,1086239,0,0,0,0,3706,0,0
Saguaro NP,sagu,National Park,Intermountain ,AZ,2022,8,38698,363001,65171,363001,0,0,0,0,39,0,0,,,,,,2022,908194,4344960,1650326,1086239,0,0,0,0,3706,0,0
Saguaro NP,sagu,National Park,Intermountain ,AZ,2022,9,37091,344096,64134,344096,0,0,0,0,86,0,0,,,,,,2022,908194,4344960,1650326,1086239,0,0,0,0,3706,0,0
Saguaro NP,sagu,National Park,Intermountain ,AZ,2022,10,63252,368897,117924,368897,0,0,0,0,351,0,0,,,,,,2022,908194,4344960,1650326,1086239,0,0,0,0,3706,0,0
Saguaro NP,sagu,National Park,Intermountain ,AZ,2022,11,86306,354167,164787,354167,0,0,0,0,402,0,0,,,,,,2022,908194,4344960,1650326,1086239,0,0,0,0,3706,0,0
Saguaro NP,sagu,National Park,Intermountain ,AZ,2022,12,85833,365295,150956,365295,0,0,0,0,209,0,0,,,,,,2022,908194,4344960,1650326,1086239,0,0,0,0,3706,0,0
Sequoia NP,sequ,National Park,Pacific West ,CA,2022,1,32564,986,156307,986,0,0,0,0,56,0,0,,,,,,2022,1153198,12936,36729198,51744,40016,0,102700,50295,31562,0,0
Sequoia NP,sequ,National Park,Pacific West ,CA,2022,2,39182,1007,188076,1007,0,0,814,350,161,0,0,,,,,,2022,1153198,12936,36729198,51744,40016,0,102700,50295,31562,0,0
Sequoia NP,sequ,National Park,Pacific West ,CA,2022,3,58365,1838,280151,1838,0,0,1921,684,186,0,0,,,,,,2022,1153198,12936,36729198,51744,40016,0,102700,50295,31562,0,0
Sequoia NP,sequ,National Park,Pacific West ,CA,2022,4,86412,796,3145396,796,288,0,4522,1059,558,0,0,,,,,,2022,1153198,12936,36729198,51744,40016,0,102700,50295,31562,0,0
Sequoia NP,sequ,National Park,Pacific West ,CA,2022,5,121934,661,4438396,661,5462,0,9044,1708,3983,0,0,,,,,,2022,1153198,12936,36729198,51744,40016,0,102700,50295,31562,0,0
Sequoia NP,sequ,National Park,Pacific West ,CA,2022,6,135869,1087,5013550,1087,8986,0,20374,4344,7143,0,0,,,,,,2022,1153198,12936,36729198,51744,40016,0,102700,50295,31562,0,0
Sequoia NP,sequ,National Park,Pacific West ,CA,2022,7,188020,1177,6937924,1177,8162,0,23109,4035,8040,0,0,,,,,,2022,1153198,12936,36729198,51744,40016,0,102700,50295,31562,0,0
Sequoia NP,sequ,National Park,Pacific West ,CA,2022,8,170284,1046,6198356,1046,3241,0,20886,17748,8942,0,0,,,,,,2022,1153198,12936,36729198,51744,40016,0,102700,50295,31562,0,0
Sequoia NP,sequ,National Park,Pacific West ,CA,2022,9,127041,809,4624287,809,3403,0,15550,14475,2382,0,0,,,,,,2022,1153198,12936,36729198,51744,40016,0,102700,50295,31562,0,0
Sequoia NP,sequ,National Park,Pacific West ,CA,2022,10,96663,703,3518536,703,5822,0,5008,5228,111,0,0,,,,,,2022,1153198,12936,36729198,51744,40016,0,102700,50295,31562,0,0
Sequoia NP,sequ,National Park,Pacific West ,CA,2022,11,55800,1004,2031113,1004,4652,0,1278,591,0,0,0,,,,,,2022,1153198,12936,36729198,51744,40016,0,102700,50295,31562,0,0
Sequoia NP,sequ,National Park,Pacific West ,CA,2022,12,41064,1822,197106,1822,0,0,194,73,0,0,0,,,,,,2022,1153198,12936,36729198,51744,40016,0,102700,50295,31562,0,0
Shenandoah NP,shen,National Park,Northeast ,VA,2022,1,13592,56,39443,56,248,0,0,0,285,0,0,,,,,,2022,1449300,10962,10261332,2742,48112,0,108384,65223,67738,0,198
Shenandoah NP,shen,National Park,Northeast ,VA,2022,2,34383,56,80267,56,237,0,0,0,263,0,0,,,,,,2022,1449300,10962,10261332,2742,48112,0,108384,65223,67738,0,198
Shenandoah NP,shen,National Park,Northeast ,VA,2022,3,56623,98,221252,98,337,0,312,342,2474,0,0,,,,,,2022,1449300,10962,10261332,2742,48112,0,108384,65223,67738,0,198
Shenandoah NP,shen,National Park,Northeast ,VA,2022,4,115883,1260,862592,1260,4348,0,8076,4626,7858,0,0,,,,,,2022,1449300,10962,10261332,2742,48112,0,108384,65223,67738,0,198
Shenandoah NP,shen,National Park,Northeast ,VA,2022,5,135836,1414,1313065,1414,5910,0,13773,9183,13436,0,23,,,,,,2022,1449300,10962,10261332,2742,48112,0,108384,65223,67738,0,198
Shenandoah NP,shen,National Park,Northeast ,VA,2022,6,165442,1260,1543872,1260,7872,0,18675,10098,12467,0,30,,,,,,2022,1449300,10962,10261332,2742,48112,0,108384,65223,67738,0,198
Shenandoah NP,shen,National Park,Northeast ,VA,2022,7,184485,1414,1414770,1414,5833,0,18678,8553,8344,0,51,,,,,,2022,1449300,10962,10261332,2742,48112,0,108384,65223,67738,0,198
Shenandoah NP,shen,National Park,Northeast ,VA,2022,8,164375,1414,1196112,1414,5316,0,16146,7521,5126,0,29,,,,,,2022,1449300,10962,10261332,2742,48112,0,108384,65223,67738,0,198
Shenandoah NP,shen,National Park,Northeast ,VA,2022,9,145704,1260,1259465,1260,7196,0,15072,9165,7452,0,37,,,,,,2022,1449300,10962,10261332,2742,48112,0,108384,65223,67738,0,198
Shenandoah NP,shen,National Park,Northeast ,VA,2022,10,298672,1414,1765006,1414,7059,0,15732,14004,7452,0,28,,,,,,2022,1449300,10962,10261332,2742,48112,0,108384,65223,67738,0,198
Shenandoah NP,shen,National Park,Northeast ,VA,2022,11,114473,1260,498910,1260,3590,0,1920,1731,2008,0,0,,,,,,2022,1449300,10962,10261332,2742,48112,0,108384,65223,67738,0,198
Shenandoah NP,shen,National Park,Northeast ,VA,2022,12,19832,56,66578,56,166,0,0,0,573,0,0,,,,,,2022,1449300,10962,10261332,2742,48112,0,108384,65223,67738,0,198
Theodore Roosevelt NP,thro,National Park,Midwest ,ND,2022,1,2449,472,11426,472,0,0,3,16,0,0,0,,,,,,2022,668679,6578,2566720,2172,0,0,13441,22321,658,0,3221
Theodore Roosevelt NP,thro,National Park,Midwest ,ND,2022,2,2568,472,12410,472,0,0,11,27,2,0,0,,,,,,2022,668679,6578,2566720,2172,0,0,13441,22321,658,0,3221
Theodore Roosevelt NP,thro,National Park,Midwest ,ND,2022,3,6645,472,32165,472,0,0,24,81,0,0,0,,,,,,2022,668679,6578,2566720,2172,0,0,13441,22321,658,0,3221
Theodore Roosevelt NP,thro,National Park,Midwest ,ND,2022,4,7366,622,37237,622,0,0,19,167,4,0,0,,,,,,2022,668679,6578,2566720,2172,0,0,13441,22321,658,0,3221
Theodore Roosevelt NP,thro,National Park,Midwest ,ND,2022,5,66678,623,258265,623,0,0,1458,2927,63,0,176,,,,,,2022,668679,6578,2566720,2172,0,0,13441,22321,658,0,3221
Theodore Roosevelt NP,thro,National Park,Midwest ,ND,2022,6,124089,623,472526,623,0,0,2795,4077,154,0,501,,,,,,2022,668679,6578,2566720,2172,0,0,13441,22321,658,0,3221
Theodore Roosevelt NP,thro,National Park,Midwest ,ND,2022,7,150994,622,556873,622,0,0,3235,3818,183,0,1012,,,,,,2022,668679,6578,2566720,2172,0,0,13441,22321,658,0,3221
Theodore Roosevelt NP,thro,National Park,Midwest ,ND,2022,8,137454,621,538354,621,0,0,3240,4382,130,0,936,,,,,,2022,668679,6578,2566720,2172,0,0,13441,22321,658,0,3221
Theodore Roosevelt NP,thro,National Park,Midwest ,ND,2022,9,114280,624,466287,624,0,0,2322,5049,87,0,531,,,,,,2022,668679,6578,2566720,2172,0,0,13441,22321,658,0,3221
Theodore Roosevelt NP,thro,National Park,Midwest ,ND,2022,10,50215,483,151177,483,0,0,313,1652,29,0,65,,,,,,2022,668679,6578,2566720,2172,0,0,13441,22321,658,0,3221
Theodore Roosevelt NP,thro,National Park,Midwest ,ND,2022,11,4614,472,23493,472,0,0,16,111,0,0,0,,,,,,2022,668679,6578,2566720,2172,0,0,13441,22321,658,0,3221
Theodore Roosevelt NP,thro,National Park,Midwest ,ND,2022,12,1327,472,6507,472,0,0,5,14,6,0,0,,,,,,2022,668679,6578,2566720,2172,0,0,13441,22321,658,0,3221
Virgin Islands NP,viis,National Park,Southeast ,VI,2022,1,26276,15000,161600,15000,0,68,0,0,0,0,0,,,,,,2022,196752,201233,1210027,52680,1147,2043,0,0,0,412,3711
Virgin Islands NP,viis,National Park,Southeast ,VI,2022,2,22392,15000,137711,15000,51,240,0,0,0,0,0,,,,,,2022,196752,201233,1210027,52680,1147,2043,0,0,0,412,3711
Virgin Islands NP,viis,National Park,Southeast ,VI,2022,3,28469,15000,175086,15000,118,293,0,0,0,0,0,,,,,,2022,196752,201233,1210027,52680,1147,2043,0,0,0,412,3711
Virgin Islands NP,viis,National Park,Southeast ,VI,2022,4,17080,15512,105042,15512,29,250,0,0,0,0,0,,,,,,2022,196752,201233,1210027,52680,1147,2043,0,0,0,412,3711
Virgin Islands NP,viis,National Park,Southeast ,VI,2022,5,10223,15487,62869,15487,61,158,0,0,0,0,0,,,,,,2022,196752,201233,1210027,52680,1147,2043,0,0,0,412,3711
Virgin Islands NP,viis,National Park,Southeast ,VI,2022,6,9503,20350,58441,20350,71,161,0,0,0,0,0,,,,,,2022,196752,201233,1210027,52680,1147,2043,0,0,0,412,3711
Virgin Islands NP,viis,National Park,Southeast ,VI,2022,7,8692,17547,53453,17547,62,148,0,0,0,0,0,,,,,,2022,196752,201233,1210027,52680,1147,2043,0,0,0,412,3711
Virgin Islands NP,viis,National Park,Southeast ,VI,2022,8,9968,17810,61303,17810,0,0,0,0,0,0,0,,,,,,2022,196752,201233,1210027,52680,1147,2043,0,0,0,412,3711
Virgin Islands NP,viis,National Park,Southeast ,VI,2022,9,8607,16523,52934,16523,0,0,0,0,0,0,0,,,,,,2022,196752,201233,1210027,52680,1147,2043,0,0,0,412,3711
Virgin Islands NP,viis,National Park,Southeast ,VI,2022,10,11808,17389,72622,17389,0,0,0,0,0,36,327,,,,,,2022,196752,201233,1210027,52680,1147,2043,0,0,0,412,3711
Virgin Islands NP,viis,National Park,Southeast ,VI,2022,11,19012,17583,116923,17583,0,0,0,0,0,40,362,,,,,,2022,196752,201233,1210027,52680,1147,2043,0,0,0,412,3711
Virgin Islands NP,viis,National Park,Southeast ,VI,2022,12,24722,18032,152043,18032,755,725,0,0,0,336,3022,,,,,,2022,196752,201233,1210027,52680,1147,2043,0,0,0,412,3711
Voyageurs NP,voya,National Park,Midwest ,MN,2022,1,4464,0,17264,0,0,0,0,0,9,0,0,,,,,,2022,221434,0,1048987,0,2891,0,0,0,43566,0,21761
Voyageurs NP,voya,National Park,Midwest ,MN,2022,2,5264,0,18902,0,0,0,0,0,16,0,0,,,,,,2022,221434,0,1048987,0,2891,0,0,0,43566,0,21761
Voyageurs NP,voya,National Park,Midwest ,MN,2022,3,3268,0,10702,0,0,0,0,0,26,0,0,,,,,,2022,221434,0,1048987,0,2891,0,0,0,43566,0,21761
Voyageurs NP,voya,National Park,Midwest ,MN,2022,4,172,0,172,0,0,0,0,0,0,0,0,,,,,,2022,221434,0,1048987,0,2891,0,0,0,43566,0,21761
Voyageurs NP,voya,National Park,Midwest ,MN,2022,5,28130,0,183194,0,302,0,0,0,3167,0,2633,,,,,,2022,221434,0,1048987,0,2891,0,0,0,43566,0,21761
Voyageurs NP,voya,National Park,Midwest ,MN,2022,6,44629,0,228560,0,198,0,0,0,5889,0,4651,,,,,,2022,221434,0,1048987,0,2891,0,0,0,43566,0,21761
Voyageurs NP,voya,National Park,Midwest ,MN,2022,7,48662,0,214689,0,807,0,0,0,13701,0,5225,,,,,,2022,221434,0,1048987,0,2891,0,0,0,43566,0,21761
Voyageurs NP,voya,National Park,Midwest ,MN,2022,8,48500,0,212258,0,861,0,0,0,14291,0,4757,,,,,,2022,221434,0,1048987,0,2891,0,0,0,43566,0,21761
Voyageurs NP,voya,National Park,Midwest ,MN,2022,9,24541,0,95589,0,716,0,0,0,5842,0,1864,,,,,,2022,221434,0,1048987,0,2891,0,0,0,43566,0,21761
Voyageurs NP,voya,National Park,Midwest ,MN,2022,10,10801,0,50654,0,7,0,0,0,613,0,2229,,,,,,2022,221434,0,1048987,0,2891,0,0,0,43566,0,21761
Voyageurs NP,voya,National Park,Midwest ,MN,2022,11,2473,0,15413,0,0,0,0,0,12,0,402,,,,,,2022,221434,0,1048987,0,2891,0,0,0,43566,0,21761
Voyageurs NP,voya,National Park,Midwest ,MN,2022,12,530,0,1590,0,0,0,0,0,0,0,0,,,,,,2022,221434,0,1048987,0,2891,0,0,0,43566,0,21761
White Sands NP,whsa,National Park,Intermountain ,NM,2022,1,45083,0,92269,0,0,0,0,0,0,0,0,,,,,,2022,705127,0,1399252,0,0,0,0,0,0,0,0
White Sands NP,whsa,National Park,Intermountain ,NM,2022,2,44186,0,97940,0,0,0,0,0,0,0,0,,,,,,2022,705127,0,1399252,0,0,0,0,0,0,0,0
White Sands NP,whsa,National Park,Intermountain ,NM,2022,3,99649,0,183002,0,0,0,0,0,0,0,0,,,,,,2022,705127,0,1399252,0,0,0,0,0,0,0,0
White Sands NP,whsa,National Park,Intermountain ,NM,2022,4,75417,0,142993,0,0,0,0,0,0,0,0,,,,,,2022,705127,0,1399252,0,0,0,0,0,0,0,0
White Sands NP,whsa,National Park,Intermountain ,NM,2022,5,64329,0,131897,0,0,0,0,0,0,0,0,,,,,,2022,705127,0,1399252,0,0,0,0,0,0,0,0
White Sands NP,whsa,National Park,Intermountain ,NM,2022,6,56802,0,108651,0,0,0,0,0,0,0,0,,,,,,2022,705127,0,1399252,0,0,0,0,0,0,0,0
White Sands NP,whsa,National Park,Intermountain ,NM,2022,7,62853,0,122284,0,0,0,0,0,0,0,0,,,,,,2022,705127,0,1399252,0,0,0,0,0,0,0,0
White Sands NP,whsa,National Park,Intermountain ,NM,2022,8,46338,0,88770,0,0,0,0,0,0,0,0,,,,,,2022,705127,0,1399252,0,0,0,0,0,0,0,0
White Sands NP,whsa,National Park,Intermountain ,NM,2022,9,50331,0,105080,0,0,0,0,0,0,0,0,,,,,,2022,705127,0,1399252,0,0,0,0,0,0,0,0
White Sands NP,whsa,National Park,Intermountain ,NM,2022,10,57639,0,118378,0,0,0,0,0,0,0,0,,,,,,2022,705127,0,1399252,0,0,0,0,0,0,0,0
White Sands NP,whsa,National Park,Intermountain ,NM,2022,11,49712,0,101632,0,0,0,0,0,0,0,0,,,,,,2022,705127,0,1399252,0,0,0,0,0,0,0,0
White Sands NP,whsa,National Park,Intermountain ,NM,2022,12,52788,0,106356,0,0,0,0,0,0,0,0,,,,,,2022,705127,0,1399252,0,0,0,0,0,0,0,0
Wind Cave NP,wica,National Park,Midwest ,SD,2022,1,12433,14262,21227,14262,0,0,2,10,1,0,0,,,,,,2022,607418,244214,1880036,80590,0,0,4865,5528,435,0,306
Wind Cave NP,wica,National Park,Midwest ,SD,2022,2,11958,13717,20473,13717,0,0,0,17,4,0,0,,,,,,2022,607418,244214,1880036,80590,0,0,4865,5528,435,0,306
Wind Cave NP,wica,National Park,Midwest ,SD,2022,3,20156,15413,38913,15413,0,0,34,84,2,0,0,,,,,,2022,607418,244214,1880036,80590,0,0,4865,5528,435,0,306
Wind Cave NP,wica,National Park,Midwest ,SD,2022,4,35600,12341,103034,12341,0,0,91,168,13,0,0,,,,,,2022,607418,244214,1880036,80590,0,0,4865,5528,435,0,306
Wind Cave NP,wica,National Park,Midwest ,SD,2022,5,69382,24053,216628,24053,0,0,392,624,62,0,0,,,,,,2022,607418,244214,1880036,80590,0,0,4865,5528,435,0,306
Wind Cave NP,wica,National Park,Midwest ,SD,2022,6,95359,33058,325311,33058,0,0,896,965,122,0,34,,,,,,2022,607418,244214,1880036,80590,0,0,4865,5528,435,0,306
Wind Cave NP,wica,National Park,Midwest ,SD,2022,7,120638,26885,415980,26885,0,0,1289,1072,84,0,66,,,,,,2022,607418,244214,1880036,80590,0,0,4865,5528,435,0,306
Wind Cave NP,wica,National Park,Midwest ,SD,2022,8,101890,22707,339627,22707,0,0,1162,877,35,0,69,,,,,,2022,607418,244214,1880036,80590,0,0,4865,5528,435,0,306
Wind Cave NP,wica,National Park,Midwest ,SD,2022,9,83314,28882,286798,28882,0,0,864,1435,98,0,137,,,,,,2022,607418,244214,1880036,80590,0,0,4865,5528,435,0,306
Wind Cave NP,wica,National Park,Midwest ,SD,2022,10,31722,24258,68003,24258,0,0,107,256,14,0,0,,,,,,2022,607418,244214,1880036,80590,0,0,4865,5528,435,0,306
Wind Cave NP,wica,National Park,Midwest ,SD,2022,11,13956,16009,25122,16009,0,0,20,11,0,0,0,,,,,,2022,607418,244214,1880036,80590,0,0,4865,5528,435,0,306
Wind Cave NP,wica,National Park,Midwest ,SD,2022,12,11010,12629,18920,12629,0,0,8,9,0,0,0,,,,,,2022,607418,244214,1880036,80590,0,0,4865,5528,435,0,306
Wrangell-St. Elias NP & PRES,wrst,National Park,Alaska,AK,2022,1,25,0,1150,0,0,0,0,0,17,0,0,,,,,,2022,65236,0,3000860,0,0,0,0,0,195,0,7224
Wrangell-St. Elias NP & PRES,wrst,National Park,Alaska,AK,2022,2,95,0,4370,0,0,0,0,0,17,0,0,,,,,,2022,65236,0,3000860,0,0,0,0,0,195,0,7224
Wrangell-St. Elias NP & PRES,wrst,National Park,Alaska,AK,2022,3,230,0,10580,0,0,0,0,0,14,0,0,,,,,,2022,65236,0,3000860,0,0,0,0,0,195,0,7224
Wrangell-St. Elias NP & PRES,wrst,National Park,Alaska,AK,2022,4,520,0,23920,0,0,0,0,0,27,0,0,,,,,,2022,65236,0,3000860,0,0,0,0,0,195,0,7224
Wrangell-St. Elias NP & PRES,wrst,National Park,Alaska,AK,2022,5,4909,0,225820,0,0,0,0,0,12,0,1204,,,,,,2022,65236,0,3000860,0,0,0,0,0,195,0,7224
Wrangell-St. Elias NP & PRES,wrst,National Park,Alaska,AK,2022,6,16590,0,763136,0,0,0,0,0,21,0,1204,,,,,,2022,65236,0,3000860,0,0,0,0,0,195,0,7224
Wrangell-St. Elias NP & PRES,wrst,National Park,Alaska,AK,2022,7,20054,0,922490,0,0,0,0,0,27,0,1204,,,,,,2022,65236,0,3000860,0,0,0,0,0,195,0,7224
Wrangell-St. Elias NP & PRES,wrst,National Park,Alaska,AK,2022,8,16829,0,774112,0,0,0,0,0,18,0,1204,,,,,,2022,65236,0,3000860,0,0,0,0,0,195,0,7224
Wrangell-St. Elias NP & PRES,wrst,National Park,Alaska,AK,2022,9,5359,0,246532,0,0,0,0,0,18,0,1204,,,,,,2022,65236,0,3000860,0,0,0,0,0,195,0,7224
Wrangell-St. Elias NP & PRES,wrst,National Park,Alaska,AK,2022,10,530,0,24380,0,0,0,0,0,6,0,1204,,,,,,2022,65236,0,3000860,0,0,0,0,0,195,0,7224
Wrangell-St. Elias NP & PRES,wrst,National Park,Alaska,AK,2022,11,60,0,2760,0,0,0,0,0,2,0,0,,,,,,2022,65236,0,3000860,0,0,0,0,0,195,0,7224
Wrangell-St. Elias NP & PRES,wrst,National Park,Alaska,AK,2022,12,35,0,1610,0,0,0,0,0,16,0,0,,,,,,2022,65236,0,3000860,0,0,0,0,0,195,0,7224
Yellowstone NP,yell,National Park,Intermountain ,WY,2022,1,46615,62941,781488,62941,8763,0,118,307,66,0,0,,,,,,2022,3290242,1336634,63536090,762732,492529,439752,10909,18454,34758,0,5814
Yellowstone NP,yell,National Park,Intermountain ,WY,2022,2,47300,67972,815182,67972,9759,0,80,384,93,0,0,,,,,,2022,3290242,1336634,63536090,762732,492529,439752,10909,18454,34758,0,5814
Yellowstone NP,yell,National Park,Intermountain ,WY,2022,3,35593,75280,524921,75280,3319,0,138,554,65,0,0,,,,,,2022,3290242,1336634,63536090,762732,492529,439752,10909,18454,34758,0,5814
